Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
NCP001	NCP001_UDG	3	2	SE	Corvus	single	half	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/NCP001_UDG_3_sorted_noqc.bam
BRW001	BRW001_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/BRW001_WGS_3_sorted_noqc.bam
DVT014	DVT014_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/DVT014_WGS_3_sorted_noqc.bam
DVT016	DVT016_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/DVT016_WGS_3_sorted_noqc.bam
DVT022	DVT022_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/DVT022_WGS_3_sorted_noqc.bam
HOC005	HOC005_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/HOC005_WGS_3_sorted_noqc.bam
HOC007	HOC007_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/HOC007_WGS_3_sorted_noqc.bam
KZR002	KZR002_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/KZR002_WGS_3_sorted_noqc.bam
NCP002	NCP002_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/NCP002_WGS_3_sorted_noqc.bam
SLN001	SLN001_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/SLN001_WGS_3_sorted_noqc.bam
VKP001	VKP001_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/VKP001_WGS_3_sorted_noqc.bam
WMP005	WMP005_WGS	3	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs3/results/ext_mapped/WMP005_WGS_3_sorted_noqc.bam
BRW001	BRW001_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs2/results/ext_mapped/BRW001_WGS_2_sorted_noqc.bam
DVT014	DVT014_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs2/results/ext_mapped/DVT014_WGS_2_sorted_noqc.bam
DVT016	DVT016_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs2/results/ext_mapped/DVT016_WGS_2_sorted_noqc.bam
DVT022	DVT022_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs2/results/ext_mapped/DVT022_WGS_2_sorted_noqc.bam
HOC005	HOC005_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs2/results/ext_mapped/HOC005_WGS_2_sorted_noqc.bam
HOC007	HOC007_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs2/results/ext_mapped/HOC007_WGS_2_sorted_noqc.bam
KZR002	KZR002_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs2/results/ext_mapped/KZR002_WGS_2_sorted_noqc.bam
NCP001	NCP001_UDG	2	2	SE	Corvus	single	half	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgs2/results/ext_mapped/NCP001_UDG_2_sorted_noqc.bam
